,Sink,Source,Time Class,Time Delta,Transmission Type,Weight,Host1,Isolation Date1,State1,Subtype1,Host2,Isolation Date2,State2,Subtype2
294,A/blue-winged teal/Nova Scotia/00121/2010,A/mallard/Nova Scotia/00346/2010,Environmental Persistence,33,Inter-Species,8.0,IRD:Mallard/Avian,2010-08-08,Nova Scotia,H1N1,IRD:Teal/Avian,2010-09-10,Nova Scotia,H1N1
295,A/blue-winged teal/Nova Scotia/00126/2010,A/American black duck/Nova Scotia/00089/2010,Direct Transmission,0,Inter-Species,8.0,IRD:American Black Duck/Avian,2010-09-10,Nova Scotia,H1N1,IRD:Teal/Avian,2010-09-10,Nova Scotia,H1N1
296,A/blue-winged teal/Nova Scotia/01000/2010,A/blue-winged teal/Prince Edward Island/00849/2010,Environmental Persistence,17,Intra-Species,7.9993490000000005,IRD:Teal/Avian,2010-09-03,Prince Edward Island,H6N1,IRD:Teal/Avian,2010-09-20,Nova Scotia,H6N1
297,A/blue-winged teal/Nova Scotia/01002/2010,A/green-winged teal/New Brunswick/00335/2010,Environmental Persistence,43,Inter-Species,7.717283,IRD:Green-winged Teal/Avian,2010-08-08,New Brunswick,H3N8,IRD:Teal/Avian,2010-09-20,Nova Scotia,H3N8
298,A/blue-winged teal/Nova Scotia/01003/2010,A/blue-winged teal/Prince Edward Island/00849/2010,Environmental Persistence,17,Intra-Species,7.995550999999999,IRD:Teal/Avian,2010-09-03,Prince Edward Island,H6N1,IRD:Teal/Avian,2010-09-20,Nova Scotia,H6N1
299,A/blue-winged teal/Nova Scotia/01008/2010,A/blue-winged teal/Nova Scotia/01009/2010,Direct Transmission,0,Intra-Species,7.993931,IRD:Teal/Avian,2010-09-20,Nova Scotia,H4N6,IRD:Teal/Avian,2010-09-20,Nova Scotia,H4N6
300,A/blue-winged teal/Nova Scotia/01009/2010,A/blue-winged teal/Nova Scotia/01008/2010,Direct Transmission,0,Intra-Species,7.993931,IRD:Teal/Avian,2010-09-20,Nova Scotia,H4N6,IRD:Teal/Avian,2010-09-20,Nova Scotia,H4N6
301,A/blue-winged teal/Prince Edward Island/00803/2010,A/blue-winged teal/New Brunswick/00774/2010,Direct Transmission,7,Intra-Species,7.998256,IRD:Teal/Avian,2010-08-25,New Brunswick,H3N8,IRD:Teal/Avian,2010-09-01,Prince Edward Island,H3N8
302,A/blue-winged teal/Prince Edward Island/00831/2010,A/blue-winged teal/New Brunswick/00600/2010,Environmental Persistence,18,Intra-Species,8.0,IRD:Teal/Avian,2010-08-15,New Brunswick,H3N7,IRD:Teal/Avian,2010-09-02,Prince Edward Island,H3N7
303,A/blue-winged teal/Prince Edward Island/00844/2010,A/mallard/New Jersey/AI09-6426/2009,Environmental Persistence,340,Inter-Species,7.756128999999999,IRD:Mallard/Avian,2009-09-28,New Jersey,H4N9,IRD:Teal/Avian,2010-09-03,Prince Edward Island,H4N9
304,A/blue-winged teal/Prince Edward Island/00849/2010,A/blue-winged teal/Nova Scotia/01000/2010,Direct Transmission,-17,Intra-Species,7.9993490000000005,IRD:Teal/Avian,2010-09-20,Nova Scotia,H6N1,IRD:Teal/Avian,2010-09-03,Prince Edward Island,H6N1
305,A/blue-winged teal/Prince Edward Island/03912/2009,A/mallard/Nova Scotia/03271/2009,Direct Transmission,13,Inter-Species,7.9779589999999985,IRD:Mallard/Avian,2009-08-06,Nova Scotia,H3N8,IRD:Blue-Winged Teal/Avian,2009-08-19,Prince Edward Island,H3N8
306,A/blue-winged teal/Prince Edward Island/03927/2009,A/mallard/California/5255/2009,Environmental Persistence,22,Inter-Species,7.525664999999999,IRD:Mallard/Avian,2009-07-28,California,H3N8,IRD:Blue-Winged Teal/Avian,2009-08-19,Prince Edward Island,H3N8
307,A/blue-winged teal/Texas/AI09-4463/2009,A/blue-winged Teal/Minnesota/AI09-2977/2009,Direct Transmission,14,Inter-Species,7.912066,IRD:Teal/Avian,2009-09-06,Minnesota,H4N8,IRD:Blue-Winged Teal/Avian,2009-09-20,Texas,H4N8
308,A/blue-winged teal/Wisconsin/10OS2862/2010,A/mallard/Illinois/10OS2677/2010,Direct Transmission,0,Inter-Species,7.853366999999999,IRD:Mallard/Avian,2010-10-02,Illinois,H3N2,IRD:Teal/Avian,2010-10-02,Wisconsin,H3N2
309,A/blue-winged teal/Wisconsin/2665/2009,A/blue-winged teal/Wisconsin/2713/2009,Direct Transmission,0,Intra-Species,7.9932539999999985,IRD:Blue-Winged Teal/Avian,2009-10-17,Wisconsin,H4N2,IRD:Blue-Winged Teal/Avian,2009-10-17,Wisconsin,H4N2
310,A/blue-winged teal/Wisconsin/2713/2009,A/blue-winged teal/Wisconsin/2665/2009,Direct Transmission,0,Intra-Species,7.9932539999999985,IRD:Blue-Winged Teal/Avian,2009-10-17,Wisconsin,H4N2,IRD:Blue-Winged Teal/Avian,2009-10-17,Wisconsin,H4N2
311,A/blue-winged teal/Wisconsin/2741/2009,A/blue-winged Teal/North Dakota/AI09-3131/2009,Environmental Persistence,44,Inter-Species,7.787941,IRD:Blue-Winged Teal/Avian,2009-09-03,North Dakota,H4N6,IRD:Teal/Avian,2009-10-17,Wisconsin,H4N6
312,A/blue-winged teal/Wisconsin/2753/2009,A/American green-winged teal/Interior Alaska/9BM8129R0/2009,Environmental Persistence,76,Inter-Species,7.727762999999999,IRD:Green-winged Teal/Avian,2009-08-09,Interior Alaska,H4N6,IRD:Blue-Winged Teal/Avian,2009-10-24,Wisconsin,H4N6
313,A/cinnamon teal/California/225/2011,A/mallard/Missouri/350/2009,Environmental Persistence,406,Inter-Species,7.812144,IRD:Mallard/Avian,2009-12-06,Missouri,H11N9,IRD:Cinnamon Teal/Avian,2011-01-16,California,H11N9
314,A/environment/California/5807/2009,A/northern pintail/Interior Alaska/10CH00003R0/2010,Direct Transmission,-369,Inter-Species,7.6826209999999975,IRD:Northern Pintail/Avian,2010-09-04,Interior Alaska,H4N6,IRD:Environment,2009-08-31,California,H4N6
315,A/environment/Indiana/10OS1500/2010,A/mallard/Wisconsin/10OS2909/2010,Direct Transmission,-30,Inter-Species,7.883061,IRD:Mallard/Avian,2010-10-03,Wisconsin,H3N8,IRD:Environment,2010-09-03,Indiana,H3N8
316,A/environment/Indiana/3596/2009,A/environment/Indiana/3607/2009,Direct Transmission,0,Intra-Species,7.997727999999999,IRD:Environment,2009-11-13,Indiana,H5N2,IRD:Environment,2009-11-13,Indiana,H5N2
317,A/environment/Indiana/3599/2009,A/environment/Indiana/3607/2009,Direct Transmission,0,Intra-Species,7.996580000000002,IRD:Environment,2009-11-13,Indiana,H5N2,IRD:Environment,2009-11-13,Indiana,H5N2
318,A/environment/Indiana/3607/2009,A/environment/Indiana/3596/2009,Direct Transmission,0,Intra-Species,7.997727999999999,IRD:Environment,2009-11-13,Indiana,H5N2,IRD:Environment,2009-11-13,Indiana,H5N2
319,A/environment/Indiana/3610/2009,A/environment/Indiana/3607/2009,Direct Transmission,0,Intra-Species,7.996841000000001,IRD:Environment,2009-11-13,Indiana,H5N2,IRD:Environment,2009-11-13,Indiana,H5N2
320,A/gadwall/Iowa/10OS2753/2010,A/mallard/New Jersey/AI09-5121/2009,Environmental Persistence,383,Inter-Species,7.570851999999999,IRD:Mallard/Avian,2009-09-29,New Jersey,H3N8,IRD:Gadwall/Avian,2010-10-17,Iowa,H3N8
321,A/gadwall/Mississippi/10OS4531/2010,A/northern shoveler/Mississippi/10OS4526/2010,Direct Transmission,1,Inter-Species,7.991123,IRD:Northern Shoveler/Avian,2010-12-10,Mississippi,H6N2,IRD:Gadwall/Avian,2010-12-11,Mississippi,H6N2
322,A/gadwall/Missouri/10OS4731/2010,A/northern shoveler/Mississippi/11OS289/2011,Direct Transmission,-35,Inter-Species,7.970355,IRD:Northern Shoveler/Avian,2011-01-16,Mississippi,H7N3,IRD:Gadwall/Avian,2010-12-12,Missouri,H7N3
323,A/gadwall/Nova Scotia/00783/2010,A/blue-winged teal/Nova Scotia/00074/2010,Direct Transmission,0,Inter-Species,7.999292,IRD:Teal/Avian,2010-09-07,Nova Scotia,H3N8,IRD:Gadwall/Avian,2010-09-07,Nova Scotia,H3N8
324,A/gadwall/Nova Scotia/00783/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0,Inter-Species,7.999292,IRD:Teal/Avian,2010-09-07,Nova Scotia,H3N8,IRD:Gadwall/Avian,2010-09-07,Nova Scotia,H3N8
325,A/gadwall/Nova Scotia/00783/2010,A/blue-winged teal/Nova Scotia/00078/2010,Direct Transmission,0,Inter-Species,7.999292,IRD:Teal/Avian,2010-09-07,Nova Scotia,H3N8,IRD:Gadwall/Avian,2010-09-07,Nova Scotia,H3N8
326,A/gadwall/Nova Scotia/00783/2010,A/gadwall/Nova Scotia/00786/2010,Direct Transmission,0,Intra-Species,7.999292,IRD:Gadwall/Avian,2010-09-07,Nova Scotia,H3N8,IRD:Gadwall/Avian,2010-09-07,Nova Scotia,H3N8
327,A/gadwall/Nova Scotia/00786/2010,A/blue-winged teal/Nova Scotia/00074/2010,Direct Transmission,0,Inter-Species,8.0,IRD:Teal/Avian,2010-09-07,Nova Scotia,H3N8,IRD:Gadwall/Avian,2010-09-07,Nova Scotia,H3N8
328,A/gadwall/Nova Scotia/00786/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,0,Inter-Species,8.0,IRD:Teal/Avian,2010-09-07,Nova Scotia,H3N8,IRD:Gadwall/Avian,2010-09-07,Nova Scotia,H3N8
329,A/gadwall/Nova Scotia/00786/2010,A/blue-winged teal/Nova Scotia/00078/2010,Direct Transmission,0,Inter-Species,8.0,IRD:Teal/Avian,2010-09-07,Nova Scotia,H3N8,IRD:Gadwall/Avian,2010-09-07,Nova Scotia,H3N8
330,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010,A/gull/Southeastern Alaska/10JR01527R0/2010,Direct Transmission,1,Intra-Species,7.994860000000001,IRD:Gull/Avian,2010-08-12,Southeastern Alaska,H16N3,IRD:Gull/Avian,2010-08-13,Southeastern Alaska,H16N3
331,A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010,A/glaucous-winged gull/Southeastern Alaska/10JR01700R0/2010,Direct Transmission,0,Intra-Species,7.999567999999999,IRD:Gull/Avian,2010-09-08,Southeastern Alaska,H16N3,IRD:Gull/Avian,2010-09-08,Southeastern Alaska,H16N3
332,A/glaucous-winged gull/Southeastern Alaska/10JR01700R0/2010,A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010,Direct Transmission,0,Intra-Species,7.999567999999999,IRD:Gull/Avian,2010-09-08,Southeastern Alaska,H16N3,IRD:Gull/Avian,2010-09-08,Southeastern Alaska,H16N3
333,A/glaucous-winged gull/Southeastern Alaska/10JR01811R0/2010,A/glaucous-winged gull/Southeastern Alaska/10JR01700R0/2010,Direct Transmission,1,Intra-Species,7.959726,IRD:Gull/Avian,2010-09-08,Southeastern Alaska,H16N3,IRD:Gull/Avian,2010-09-09,Southeastern Alaska,H16N3
334,A/greater scaup/Wisconsin/4234/2009,A/mallard/New Jersey/AI09-5361/2009,Environmental Persistence,69,Inter-Species,7.895534,IRD:Mallard/Avian,2009-09-28,New Jersey,H11N9,IRD:Greater Scaup/Avian,2009-12-06,Wisconsin,H11N9
335,A/greater white-fronted goose/California/3778/2010,A/American green-winged teal/Minnesota/AI09-3589/2009,Environmental Persistence,449,Inter-Species,7.699812,IRD:Green-winged Teal/Avian,2009-09-12,Minnesota,H6N1,IRD:Greater White-Fronted Goose/Avian,2010-12-05,California,(H6)
336,A/green-winged teal/New Brunswick/00333/2010,A/American black duck/New Brunswick/00328/2010,Direct Transmission,0,Inter-Species,7.998774000000001,IRD:American Black Duck/Avian,2010-08-08,New Brunswick,H1N1,IRD:Green-winged Teal/Avian,2010-08-08,New Brunswick,H1N1
337,A/green-winged teal/New Brunswick/00335/2010,A/mallard/New Brunswick/00341/2010,Direct Transmission,0,Inter-Species,7.981415000000001,IRD:Mallard/Avian,2010-08-08,New Brunswick,H3N8,IRD:Green-winged Teal/Avian,2010-08-08,New Brunswick,H3N8
338,A/green-winged teal/New Brunswick/00336/2010,A/American black duck/New Brunswick/00522/2010,Direct Transmission,-5,Inter-Species,7.978488999999999,IRD:American Black Duck/Avian,2010-08-13,New Brunswick,H3N8,IRD:Green-winged Teal/Avian,2010-08-08,New Brunswick,H3N8
339,A/green-winged teal/New Brunswick/03483/2009,A/mallard/New Brunswick/03482/2009,Direct Transmission,0,Inter-Species,7.997053,IRD:Mallard/Avian,2009-08-14,New Brunswick,H3N8,IRD:Green-winged Teal/Avian,2009-08-14,New Brunswick,H3N8
340,A/green-winged teal/Nova Scotia/00354/2010,A/American black duck/New Brunswick/00424/2010,Direct Transmission,-2,Inter-Species,7.979571000000001,IRD:American Black Duck/Avian,2010-08-10,New Brunswick,H3N8,IRD:Green-winged Teal/Avian,2010-08-08,Nova Scotia,H3N8
341,A/green-winged teal/Prince Edward Island/00838/2010,A/green-winged teal/Prince Edward Island/00839/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
342,A/green-winged teal/Prince Edward Island/00838/2010,A/green-winged teal/Prince Edward Island/00840/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
343,A/green-winged teal/Prince Edward Island/00838/2010,A/green-winged teal/Prince Edward Island/00841/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
344,A/green-winged teal/Prince Edward Island/00839/2010,A/green-winged teal/Prince Edward Island/00838/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
345,A/green-winged teal/Prince Edward Island/00839/2010,A/green-winged teal/Prince Edward Island/00840/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
346,A/green-winged teal/Prince Edward Island/00839/2010,A/green-winged teal/Prince Edward Island/00841/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
347,A/green-winged teal/Prince Edward Island/00840/2010,A/green-winged teal/Prince Edward Island/00838/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
348,A/green-winged teal/Prince Edward Island/00840/2010,A/green-winged teal/Prince Edward Island/00839/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
349,A/green-winged teal/Prince Edward Island/00840/2010,A/green-winged teal/Prince Edward Island/00841/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
350,A/green-winged teal/Prince Edward Island/00841/2010,A/green-winged teal/Prince Edward Island/00838/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
351,A/green-winged teal/Prince Edward Island/00841/2010,A/green-winged teal/Prince Edward Island/00839/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
352,A/green-winged teal/Prince Edward Island/00841/2010,A/green-winged teal/Prince Edward Island/00840/2010,Direct Transmission,0,Intra-Species,8.0,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8,IRD:Green-winged Teal/Avian,2010-09-02,Prince Edward Island,H3N8
353,A/gull/Delaware/AI09-438/2009,A/gull/Delaware/AI09-453/2009,Direct Transmission,0,Intra-Species,7.999428,IRD:Gull/Avian,2009-05-28,Delaware,H1N1,IRD:Gull/Avian,2009-05-28,Delaware,H1N1
354,A/gull/Delaware/AI09-453/2009,A/gull/Delaware/AI09-438/2009,Direct Transmission,0,Intra-Species,7.999428,IRD:Gull/Avian,2009-05-28,Delaware,H1N1,IRD:Gull/Avian,2009-05-28,Delaware,H1N1
355,A/gull/New Jersey/AI09-964/2009,A/ruddy turnstone/New Jersey/AI09-710/2009,Direct Transmission,5,Inter-Species,7.996729999999999,IRD:Ruddy Turnstone/Avian,2009-05-22,New Jersey,H1N8,IRD:Gull/Avian,2009-05-27,New Jersey,H1N8
356,A/gull/Southeastern Alaska/10JR01527R0/2010,A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010,Direct Transmission,-1,Intra-Species,7.994860000000001,IRD:Gull/Avian,2010-08-13,Southeastern Alaska,H16N3,IRD:Gull/Avian,2010-08-12,Southeastern Alaska,H16N3
357,A/herring gull/New Jersey/AI09-1262/2009,A/ruddy turnstone/New Jersey/AI09-1352/2009,Direct Transmission,11,Inter-Species,7.9800960000000005,IRD:Ruddy Turnstone/Avian,2009-05-30,New Jersey,H10N7,IRD:Herring Gull/Avian,2009-06-10,New Jersey,H10N7
358,A/hooded merganser/New Brunswick/03749/2009,A/northern pintail/New Brunswick/03547/2009,Direct Transmission,3,Inter-Species,7.999567999999999,IRD:Northern Pintail/Avian,2009-09-11,New Brunswick,H3N8,IRD:Hooded Merganser/Avian,2009-09-14,New Brunswick,H3N8
359,A/hooded merganser/New Brunswick/03750/2009,A/mallard-black duck hybrid/New Brunswick/03736/2009,Direct Transmission,0,Inter-Species,7.986638,IRD:Mallard-Black Duck Hybrid/Avian,2009-09-14,New Brunswick,H13N6,IRD:Hooded Merganser/Avian,2009-09-14,New Brunswick,H13N6
360,A/laughing gull/New Jersey/AI09-218/2009,A/ruddy turnstone/New Jersey/AI09-151/2009,Direct Transmission,4,Inter-Species,7.9873569999999985,IRD:Ruddy Turnstone/Avian,2009-05-11,New Jersey,H11N1,IRD:Laughing Gull/Avian,2009-05-15,New Jersey,H11N1
361,A/laughing gull/New Jersey/AI09-271/2009,A/ruddy turnstone/New Jersey/AI09-151/2009,Direct Transmission,4,Inter-Species,7.998483,IRD:Ruddy Turnstone/Avian,2009-05-11,New Jersey,H11N1,IRD:Laughing Gull/Avian,2009-05-15,New Jersey,H11N1
362,A/mallard-black duck hybrid/New Brunswick/00904/2010,A/American black duck/New Brunswick/00906/2010,Direct Transmission,0,Inter-Species,8.0,IRD:American Black Duck/Avian,2010-09-14,New Brunswick,H10N7,IRD:Mallard-Black Duck Hybrid/Avian,2010-09-14,New Brunswick,H10N7
363,A/mallard-black duck hybrid/New Brunswick/00904/2010,A/American black duck/New Brunswick/00909/2010,Direct Transmission,0,Inter-Species,8.0,IRD:American Black Duck/Avian,2010-09-14,New Brunswick,H10N7,IRD:Mallard-Black Duck Hybrid/Avian,2010-09-14,New Brunswick,H10N7
364,A/mallard-black duck hybrid/New Brunswick/03736/2009,A/hooded merganser/New Brunswick/03750/2009,Direct Transmission,0,Inter-Species,7.986638,IRD:Hooded Merganser/Avian,2009-09-14,New Brunswick,H13N6,IRD:Mallard-Black Duck Hybrid/Avian,2009-09-14,New Brunswick,H13N6
365,A/mallard/Alberta/417/2009,A/mallard/Alberta/421/2009,Direct Transmission,0,Intra-Species,7.999428,IRD:Mallard/Avian,2009-08-22,Alberta,H2N3,IRD:Mallard/Avian,2009-08-22,Alberta,H2N3
366,A/mallard/Alberta/419/2009,A/mallard/Alberta/421/2009,Direct Transmission,0,Intra-Species,7.998996000000001,IRD:Mallard/Avian,2009-08-22,Alberta,H2N3,IRD:Mallard/Avian,2009-08-22,Alberta,H2N3
367,A/mallard/Alberta/421/2009,A/mallard/Alberta/417/2009,Direct Transmission,0,Intra-Species,7.999428,IRD:Mallard/Avian,2009-08-22,Alberta,H2N3,IRD:Mallard/Avian,2009-08-22,Alberta,H2N3
368,A/mallard/Arkansas/AI09-5900/2009,A/mallard/Interior Alaska/9BM11382R0/2009,Environmental Persistence,115,Intra-Species,7.585547000000001,IRD:Mallard/Avian,2009-08-18,Interior Alaska,H3N8,IRD:Mallard/Avian,2009-12-11,Arkansas,H3N8
369,A/mallard/California/1188/2010,A/mallard/California/1210/2010,Direct Transmission,0,Intra-Species,7.984833999999998,IRD:Mallard/Avian,2010-07-29,California,H4N6,IRD:Mallard/Avian,2010-07-29,California,H4N6
370,A/mallard/California/1210/2010,A/mallard/California/1297/2010,Direct Transmission,-1,Intra-Species,7.993292999999999,IRD:Mallard/Avian,2010-07-30,California,H4N6,IRD:Mallard/Avian,2010-07-29,California,H4N6
371,A/mallard/California/1297/2010,A/mallard/California/1210/2010,Direct Transmission,1,Intra-Species,7.993292999999999,IRD:Mallard/Avian,2010-07-29,California,H4N6,IRD:Mallard/Avian,2010-07-30,California,H4N6
