,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
1004,8/17/2009,Yes,Nicaragua,IRD:Human,CY058571,CY058570,CY058569,CY058564,CY058567,CY058566,CY058565,CY058568,-N/A-,A/Managua/4218.01/2009(H1N1),H1N1
1005,6/8/2010,Yes,Nicaragua,IRD:Human,CY074826,CY074825,CY074824,CY074819,CY074822,CY074821,CY074820,CY074823,-N/A-,A/Managua/4218.02/2010(H3N2),H3N2
1006,8/22/2009,Yes,Nicaragua,IRD:Human,CY072805,CY072804,CY072803,CY072798,CY072801,CY072800,CY072799,CY072802,-N/A-,A/Managua/432.01/2009(H1N1),H1N1
1007,7/2/2009,Yes,Nicaragua,IRD:Human,CY072765,CY072764,CY072763,CY072758,CY072761,CY072760,CY072759,CY072762,-N/A-,A/Managua/435.01/2009(H1N1),H1N1
1008,5/30/2010,Yes,Nicaragua,IRD:Human,CY088890,CY088889,CY088888,CY088883,CY088886,CY088885,CY088884,CY088887,-N/A-,A/Managua/4355.03/2010(H3N2),H3N2
1009,7/27/2009,Yes,Nicaragua,IRD:Human,CY072733,CY072732,CY072731,CY072726,CY072729,CY072728,CY072727,CY072730,-N/A-,A/Managua/4407.02/2009(H1N1),H1N1
1010,8/4/2009,Yes,Nicaragua,IRD:Human,CY073608,CY073607,CY073606,CY073601,CY073604,CY073603,CY073602,CY073605,-N/A-,A/Managua/4451.02/2009(H1N1),H1N1
1011,6/6/2010,Yes,Nicaragua,IRD:Human,CY074930,CY074929,CY074928,CY074923,CY074926,CY074925,CY074924,CY074927,-N/A-,A/Managua/4456.02/2010(H3N2),H3N2
1012,6/1/2009,Yes,Nicaragua,IRD:Human,CY054698,CY054697,CY054696,CY054691,CY054694,CY054693,CY054692,CY054695,-N/A-,A/Managua/4467.05/2009(H1N1),H1N1
1013,8/3/2009,Yes,Nicaragua,IRD:Human,CY072565,CY072564,CY072563,CY072558,CY072561,CY072560,CY072559,CY072562,-N/A-,A/Managua/451.01/2009(H1N1),H1N1
1014,6/21/2009,Yes,Nicaragua,IRD:Human,CY058539,CY058538,CY058537,CY058532,CY058535,CY058534,CY058533,CY058536,-N/A-,A/Managua/4514.03/2009(H1N1),H1N1
1015,8/16/2009,Yes,Nicaragua,IRD:Human,CY072661,CY072660,CY072659,CY072654,CY072657,CY072656,CY072655,CY072658,-N/A-,A/Managua/4570.01/2009(H1N1),H1N1
1016,7/22/2009,Yes,Nicaragua,IRD:Human,CY073656,CY073655,CY073654,CY073649,CY073652,CY073651,CY073650,CY073653,-N/A-,A/Managua/4590.03/2009(H1N1),H1N1
1017,6/11/2010,Yes,Nicaragua,IRD:Human,CY089018,CY089017,CY089016,CY089011,CY089014,CY089013,CY089012,CY089015,-N/A-,A/Managua/4604.04/2010(H3N2),H3N2
