,Strain Name,Subtype
479,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,H3N8
480,A/American green-winged teal/Interior Alaska/10BM07863R0/2010,H4N6
481,A/American green-winged teal/Interior Alaska/10BM08222R0/2010,H3N8
482,A/American green-winged teal/Interior Alaska/10BM08226R0/2010,H4N6
483,A/American green-winged teal/Interior Alaska/10BM08228R0/2010,H3N8
484,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,H3N8
485,A/northern pintail/Interior Alaska/10BM02791R0/2010,H4N6
486,A/mallard/Interior Alaska/10BM02980R0/2010,H9N2
487,A/mallard/Interior Alaska/10BM05968R0/2010,H3N8
488,A/mallard/Interior Alaska/10BM05970R0/2010,H3N8
489,A/northern shoveler/Interior Alaska/10BM16764R0/2010,H9N2
490,A/mallard/Interior Alaska/9BM12285R0/2009,H3N8
491,A/northern shoveler/Interior Alaska/9BM12298R0/2009,H3N8
492,A/northern shoveler/Interior Alaska/9BM12314R0/2009,H4N6
493,A/American green-winged teal/Interior Alaska/9BM12318R0/2009,H3N8
494,A/mallard/Interior Alaska/9BM12326R0/2009,H3N8
495,A/northern shoveler/Interior Alaska/9BM12332R0/2009,H3N8
496,A/northern shoveler/Interior Alaska/9BM12350R0/2009,H8N4
497,A/American green-winged teal/Interior Alaska/9BM12356R0/2009,H3N8
498,A/mallard/Interior Alaska/9BM12390R0/2009,H3N8
499,A/northern pintail/Interior Alaska/9BM12464R0/2009,H3N8
500,A/northern shoveler/Interior Alaska/9BM12519R0/2009,H4N8
501,A/mallard/Interior Alaska/9BM12523R0/2009,H3N8
502,A/mallard/Interior Alaska/9BM12567R0/2009,H3N8
503,A/mallard/Interior Alaska/9BM12627R0/2009,H3N8
504,A/American green-winged teal/Interior Alaska/9BM12714R1/2009,H3N8
505,A/northern shoveler/Interior Alaska/9BM1447R2/2009,H8N4
506,A/mallard/Interior Alaska/9BM1799/2009,H12N5
507,A/mallard/Interior Alaska/9BM2239/2009,H4N6
508,A/mallard/Interior Alaska/9BM2241R1/2009,H4N6
509,A/mallard/Interior Alaska/9BM2243/2009,H4N6
510,A/American wigeon/Interior Alaska/9BM2501R1/2009,H3N8
511,A/mallard/Interior Alaska/9BM2750R0/2009,H10N7
512,A/mallard/Interior Alaska/9BM2783R0/2009,H10N7
513,A/mallard/Interior Alaska/9BM3016R0/2009,H10N7
514,A/mallard/Interior Alaska/9BM3076R0/2009,H10N7
515,A/mallard/Interior Alaska/9BM3355R0/2009,H10N7
