,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
631,2010-07-18 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135598,CY135597,CY135596,CY135591,CY135594,CY135593,CY135592,CY135595,Alaska,A/mallard/Interior Alaska/10BM04564R1/2010,H7N3
632,2010-07-18 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135614,CY135613,CY135612,CY135607,CY135610,CY135609,CY135608,CY135611,Alaska,A/mallard/Interior Alaska/10BM04623R0/2010,H4N6
633,2010-07-18 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135622,CY135621,CY135620,CY135615,CY135618,CY135617,CY135616,CY135619,Alaska,A/mallard/Interior Alaska/10BM04624R0/2010,H4N6
634,2010-07-18 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135630,CY135629,CY135628,CY135623,CY135626,CY135625,CY135624,CY135627,Alaska,A/mallard/Interior Alaska/10BM04626R0/2010,H4N6
635,2010-07-21 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135662,CY135661,CY135660,CY135655,CY135658,CY135657,CY135656,CY135659,Alaska,A/mallard/Interior Alaska/10BM04988R0/2010,H4N6
636,2010-07-23 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135694,CY135693,CY135692,CY135687,CY135690,CY135689,CY135688,CY135691,Alaska,A/mallard/Interior Alaska/10BM05247R0/2010,H4N6
637,2010-07-23 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135702,CY135701,CY135700,CY135695,CY135698,CY135697,CY135696,CY135699,Alaska,A/mallard/Interior Alaska/10BM05249R0/2010,H4N6
638,2010-07-24 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135720,CY135719,CY135718,CY135713,CY135716,CY135715,CY135714,CY135717,Alaska,A/mallard/Interior Alaska/10BM05337R0/2010,H4N6
639,2010-07-25 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135728,CY135727,CY135726,CY135721,CY135724,CY135723,CY135722,CY135725,Alaska,A/mallard/Interior Alaska/10BM05347R0/2010,H7N3
640,2010-07-26 00:00:00,Yes,USA,IRD:Mallard/Avian,CY135818,CY135817,CY135816,CY135811,CY135814,CY135813,CY135812,CY135815,Alaska,A/mallard/Interior Alaska/10BM05797R0/2010,H3N8
641,2010-07-26 00:00:00,Yes,USA,IRD:Avian,CY135826,CY135825,CY135824,CY135819,CY135822,CY135821,CY135820,CY135823,Alaska,A/mallard/Interior Alaska/10BM05860R0/2010,H7N3
642,2010-07-26 00:00:00,Yes,USA,IRD:Avian,CY135834,CY135833,CY135832,CY135827,CY135830,CY135829,CY135828,CY135831,Alaska,A/mallard/Interior Alaska/10BM05900R0/2010,H3N8
643,2010-07-27 00:00:00,Yes,USA,IRD:Avian,CY135842,CY135841,CY135840,CY135835,CY135838,CY135837,CY135836,CY135839,Alaska,A/mallard/Interior Alaska/10BM05968R0/2010,H3N8
644,2010-07-27 00:00:00,Yes,USA,IRD:Avian,CY135850,CY135849,CY135848,CY135843,CY135846,CY135845,CY135844,CY135847,Alaska,A/mallard/Interior Alaska/10BM05970R0/2010,H3N8
645,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135874,CY135873,CY135872,CY135867,CY135870,CY135869,CY135868,CY135871,Alaska,A/mallard/Interior Alaska/10BM06448R0/2010,H4N6
646,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135882,CY135881,CY135880,CY135875,CY135878,CY135877,CY135876,CY135879,Alaska,A/mallard/Interior Alaska/10BM06450R0/2010,H4N6
647,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135890,CY135889,CY135888,CY135883,CY135886,CY135885,CY135884,CY135887,Alaska,A/mallard/Interior Alaska/10BM06452R0/2010,H4N6
648,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135898,CY135897,CY135896,CY135891,CY135894,CY135893,CY135892,CY135895,Alaska,A/mallard/Interior Alaska/10BM06454R0/2010,H4N6
649,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135906,CY135905,CY135904,CY135899,CY135902,CY135901,CY135900,CY135903,Alaska,A/mallard/Interior Alaska/10BM06455R0/2010,H4N6
650,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135914,CY135913,CY135912,CY135907,CY135910,CY135909,CY135908,CY135911,Alaska,A/mallard/Interior Alaska/10BM06456R0/2010,H4N6
651,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135280,CY135279,CY135278,CY135272,CY135275,CY135274,CY135273,CY135276,Alaska,A/mallard/Interior Alaska/10BM06458R0/2010,(H3)
652,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135922,CY135921,CY135920,CY135915,CY135918,CY135917,CY135916,CY135919,Alaska,A/mallard/Interior Alaska/10BM06459R0/2010,H4N6
653,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135930,CY135929,CY135928,CY135923,CY135926,CY135925,CY135924,CY135927,Alaska,A/mallard/Interior Alaska/10BM06460R0/2010,H4N6
654,2010-07-30 00:00:00,Yes,USA,IRD:Avian,CY135938,CY135937,CY135936,CY135931,CY135934,CY135933,CY135932,CY135935,Alaska,A/mallard/Interior Alaska/10BM06461R0/2010,H4N6
655,2010-07-31 00:00:00,Yes,USA,IRD:Avian,CY135954,CY135953,CY135952,CY135947,CY135950,CY135949,CY135948,CY135951,Alaska,A/mallard/Interior Alaska/10BM06828R0/2010,H3N8
656,2010-07-31 00:00:00,Yes,USA,IRD:Avian,CY135962,CY135961,CY135960,CY135955,CY135958,CY135957,CY135956,CY135959,Alaska,A/mallard/Interior Alaska/10BM06835R0/2010,H3N8
657,2010-07-31 00:00:00,Yes,USA,IRD:Avian,CY135970,CY135969,CY135968,CY135963,CY135966,CY135965,CY135964,CY135967,Alaska,A/mallard/Interior Alaska/10BM06838R0/2010,H7N3
658,2010-07-31 00:00:00,Yes,USA,IRD:Avian,CY136002,CY136001,CY136000,CY135995,CY135998,CY135997,CY135996,CY135999,Alaska,A/mallard/Interior Alaska/10BM06905R0/2010,H7N3
659,2010-07-31 00:00:00,Yes,USA,IRD:Avian,CY136010,CY136009,CY136008,CY136003,CY136006,CY136005,CY136004,CY136007,Alaska,A/mallard/Interior Alaska/10BM06909R0/2010,H7N3
660,2010-07-31 00:00:00,Yes,USA,IRD:Avian,CY136018,CY136017,CY136016,CY136011,CY136014,CY136013,CY136012,CY136015,Alaska,A/mallard/Interior Alaska/10BM06911R0/2010,H7N3
661,2010-08-03 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143515,CY143514,CY143513,CY143508,CY143511,CY143510,CY143509,CY143512,Alaska,A/mallard/Interior Alaska/10BM07777R0/2010,H4N6
662,2010-08-03 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143539,CY143538,CY143537,CY143532,CY143535,CY143534,CY143533,CY143536,Alaska,A/mallard/Interior Alaska/10BM07971R0/2010,H4N6
663,2010-08-05 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143659,CY143658,CY143657,CY143652,CY143655,CY143654,CY143653,CY143656,Alaska,A/mallard/Interior Alaska/10BM08622R0/2010,H4N6
664,2010-08-05 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143667,CY143666,CY143665,CY143660,CY143663,CY143662,CY143661,CY143664,Alaska,A/mallard/Interior Alaska/10BM08828R0/2010,H4N6
665,2010-08-06 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143699,CY143698,CY143697,CY143692,CY143695,CY143694,CY143693,CY143696,Alaska,A/mallard/Interior Alaska/10BM09158R0/2010,H3N8
666,2010-08-06 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143707,CY143706,CY143705,CY143700,CY143703,CY143702,CY143701,CY143704,Alaska,A/mallard/Interior Alaska/10BM09159R0/2010,H3N8
667,2010-08-06 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143715,CY143714,CY143713,CY143708,CY143711,CY143710,CY143709,CY143712,Alaska,A/mallard/Interior Alaska/10BM09162R0/2010,H3N8
668,2010-08-06 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143723,CY143722,CY143721,CY143716,CY143719,CY143718,CY143717,CY143720,Alaska,A/mallard/Interior Alaska/10BM09164R0/2010,H3N8
669,2010-08-07 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143731,CY143730,CY143729,CY143724,CY143727,CY143726,CY143725,CY143728,Alaska,A/mallard/Interior Alaska/10BM09561R0/2010,H3N8
670,2010-08-07 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143739,CY143738,CY143737,CY143732,CY143735,CY143734,CY143733,CY143736,Alaska,A/mallard/Interior Alaska/10BM09562R0/2010,H4N6
671,2010-08-07 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143747,CY143746,CY143745,CY143740,CY143743,CY143742,CY143741,CY143744,Alaska,A/mallard/Interior Alaska/10BM09570R0/2010,H4N6
672,2010-08-08 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143811,CY143810,CY143809,CY143804,CY143807,CY143806,CY143805,CY143808,Alaska,A/mallard/Interior Alaska/10BM10000R0/2010,H3N8
673,2010-08-08 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143819,CY143818,CY143817,CY143812,CY143815,CY143814,CY143813,CY143816,Alaska,A/mallard/Interior Alaska/10BM10173R0/2010,H4N6
674,2010-08-08 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143827,CY143826,CY143825,CY143820,CY143823,CY143822,CY143821,CY143824,Alaska,A/mallard/Interior Alaska/10BM10176R0/2010,H4N6
675,2010-08-10 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143860,CY143859,CY143858,CY143853,CY143856,CY143855,CY143854,CY143857,Alaska,A/mallard/Interior Alaska/10BM10829R0/2010,H7N3
676,2010-08-10 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143868,CY143867,CY143866,CY143861,CY143864,CY143863,CY143862,CY143865,Alaska,A/mallard/Interior Alaska/10BM10864R0/2010,H4N6
677,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143884,CY143883,CY143882,CY143877,CY143880,CY143879,CY143878,CY143881,Alaska,A/mallard/Interior Alaska/10BM11311R0/2010,H3N8
678,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143892,CY143891,CY143890,CY143885,CY143888,CY143887,CY143886,CY143889,Alaska,A/mallard/Interior Alaska/10BM11414R0/2010,H3N8
679,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143900,CY143899,CY143898,CY143893,CY143896,CY143895,CY143894,CY143897,Alaska,A/mallard/Interior Alaska/10BM11415R0/2010,H3N8
680,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143908,CY143907,CY143906,CY143901,CY143904,CY143903,CY143902,CY143905,Alaska,A/mallard/Interior Alaska/10BM11416R0/2010,H3N8
681,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143916,CY143915,CY143914,CY143909,CY143912,CY143911,CY143910,CY143913,Alaska,A/mallard/Interior Alaska/10BM11418R0/2010,H3N8
682,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143924,CY143923,CY143922,CY143917,CY143920,CY143919,CY143918,CY143921,Alaska,A/mallard/Interior Alaska/10BM11419R0/2010,H3N8
683,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143932,CY143931,CY143930,CY143925,CY143928,CY143927,CY143926,CY143929,Alaska,A/mallard/Interior Alaska/10BM11420R0/2010,H3N8
684,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143940,CY143939,CY143938,CY143933,CY143936,CY143935,CY143934,CY143937,Alaska,A/mallard/Interior Alaska/10BM11421R0/2010,H3N8
685,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143950,CY143949,CY143948,CY143941,CY143945,CY143943,CY143942,CY143946,Alaska,A/mallard/Interior Alaska/10BM11485R0/2010,(N6)
686,2010-08-12 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143958,CY143957,CY143956,CY143951,CY143954,CY143953,CY143952,CY143955,Alaska,A/mallard/Interior Alaska/10BM11497R0/2010,H3N6
687,2010-08-13 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144102,CY144101,CY144100,CY144095,CY144098,CY144097,CY144096,CY144099,Alaska,A/mallard/Interior Alaska/10BM12049R0/2010,H3N8
688,2010-08-13 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143990,CY143989,CY143988,CY143983,CY143986,CY143985,CY143984,CY143987,Alaska,A/mallard/Interior Alaska/10BM12172R0/2010,H3N8
689,2010-08-13 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143998,CY143997,CY143996,CY143991,CY143994,CY143993,CY143992,CY143995,Alaska,A/mallard/Interior Alaska/10BM12177R0/2010,H3N8
690,2010-08-13 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144006,CY144005,CY144004,CY143999,CY144002,CY144001,CY144000,CY144003,Alaska,A/mallard/Interior Alaska/10BM12178R0/2010,H3N8
691,2010-08-13 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144014,CY144013,CY144012,CY144007,CY144010,CY144009,CY144008,CY144011,Alaska,A/mallard/Interior Alaska/10BM12179R0/2010,H3N8
692,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144022,CY144021,CY144020,CY144015,CY144018,CY144017,CY144016,CY144019,Alaska,A/mallard/Interior Alaska/10BM12308R0/2010,H4N6
693,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144030,CY144029,CY144028,CY144023,CY144026,CY144025,CY144024,CY144027,Alaska,A/mallard/Interior Alaska/10BM12311R0/2010,H3N8
694,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144038,CY144037,CY144036,CY144031,CY144034,CY144033,CY144032,CY144035,Alaska,A/mallard/Interior Alaska/10BM12350R0/2010,H3N8
